timestamp,volume,low,deltaOpen,deltaClose,deltaHigh,utcTimestampInMinutes,open,close,high,SMA_14,EMA_14,RSI_14,BB_upper,BB_lower
2024-08-11 21:00:00,129565,109102,37,218,292,28723500,109139,109320,109394,108767.71428571429,108929.06455394531,61.99878493317132,109769.14690024771,107864.75309975228
2024-08-12 21:00:00,158766,109138,140,792,860,28724940,109278,109930,109998,108877.5,109062.52261341926,70.41168658698538,109937.50877653144,107790.79122346855
2024-08-13 21:00:00,169730,109830,16,295,644,28726380,109846,110125,110474,108997.28571428571,109204.18626496335,71.47247119078105,110093.19885357958,107708.20114642041
2024-08-14 21:00:00,121271,109497,618,215,662,28727820,110115,109712,110159,109080.14285714286,109271.89476296824,63.76364499288087,110184.92109071632,107691.77890928369
2024-08-15 21:00:00,111373,109695,3,574,599,28729260,109698,110269,110294,109227.14285714286,109404.84212790581,73.22799097065463,110389.82540529921,107631.8745947008
2024-08-18 21:00:00,131108,110209,58,642,656,28733580,110267,110851,110865,109420.78571428571,109597.66317751836,77.43371787087634,110712.0125332813,107504.4874667187
2024-08-19 21:00:00,140067,110719,100,581,585,28735020,110819,111300,111304,109638.0,109824.64142051592,78.84651868715613,111099.37304797645,107394.12695202355
2024-08-20 21:00:00,145232,110985,227,517,758,28736460,111212,111502,111743,109894.35714285714,110048.2892311138,85.00097522917886,111463.21544722083,107341.18455277916
2024-08-21 21:00:00,137493,110981,458,132,669,28737900,111439,111113,111650,110037.64285714286,110190.2506669653,73.20684868116612,111679.632089184,107391.267910816
2024-08-22 21:00:00,146267,111049,11,884,961,28739340,111060,111933,112010,110210.5,110422.61724470326,75.54898648648648,112046.23660256398,107362.76339743602
2024-08-25 21:00:00,144411,111499,362,113,519,28743660,111861,111612,112018,110374.57142857143,110581.20161207617,73.636550730603,112253.28884985043,107495.81115014957
2024-08-26 21:00:00,129555,111502,70,340,403,28745100,111572,111842,111905,110561.0,110749.30806379934,76.06871753895325,112446.20658351397,107673.09341648602
2024-08-27 21:00:00,143628,111051,753,148,800,28746540,111804,111199,111851,110704.64285714286,110809.2669886261,67.9393398751115,112485.98261469646,107927.31738530353
2024-08-28 21:00:00,145346,110555,641,225,845,28747980,111196,110780,111400,110820.57142857143,110805.36472347596,63.54079759719673,112367.5473385167,108332.4526614833
2024-08-29 21:00:00,140639,110439,308,45,512,28749420,110747,110484,110951,110903.71428571429,110762.51609367917,59.50048971596473,112349.92347021452,108487.7765297855
2024-09-01 21:00:00,89633,110419,40,305,356,28753740,110459,110724,110775,110960.42857142857,110757.38061452194,56.897150799166084,112366.31833421529,108592.4816657847
2024-09-02 21:00:00,139488,110265,379,172,463,28755180,110644,110437,110728,110982.71428571429,110714.66319925235,52.66757865937072,112341.64244352808,108729.35755647192
